"aud_rank","pdf_rank","case","author","discipline","product","description"
1,1,"Blue Ocean or Stormy Waters? Buying Nix Check Cashing","Peter Tufano; Andrea Ryan","Finance","210012-PDF-ENG","Kinecta Federal Credit Union has the opportunity to purchase Nix Check Cashing as part of their ""blue ocean"" strategy to reach the financially underserved and increase credit union membership and deposits. But they face financial as well as reputational risk. Check cashing, payday lending and other alternative financial services are maligned in mainstream financial circles. This case asks students to evaluate both organizations, their respective industries, and the proposed $45 million deal and determine whether or not it makes sense for Kinecta to purchase Nix."
2,2,"The Paris Opera Hotel","Arthur I Segel; Chad M. Carr","Finance","212003-PDF-ENG","Real estate investor Javier Faus invests in a luxury hotel development in central Paris, and must select a management company."
3,3,"Tiffany & Co.","Samuel L. Hayes","Finance","288022-PDF-ENG","This premier retail jewelry company was bought from its parent, Avon, by a group of investors led by its own management in 1984. The company was highly leveraged, financially, and had to scramble to meet the cash flow and earnings requirements laid down by its lenders. Management effected a turnaround and decided to ""go public"" to pay down its debt and provide further growth funds. Students must assess the company's relative appeal to investors and refine a pricing recommendation for the securities underwriting syndicate."
4,4,"Ticonderoga: Inverse Floating Rate Bond","George Chacko; Anders Sjoman","Finance","205113-PDF-ENG","Presents a simple interest hedging exercise. A hedge fund is considering an investment in a structured fixed-- income product: an inverse floating-rate bond, or inverse floater, designed by a U.S. investment bank. The hedge fund's normal policy is to hedge interest rate risk, maintaining a duration and convexity-neutral portfolio. Because of the complicated nature of the structured product, the protagonist must figure out how to hedge this product."
5,5,"New York Times Co.","Belen Villalonga; Chris Hartman","Finance","207113-PDF-ENG","The Sulzberger family owns 20% of the New York Times Co. (NYT) but controls 70% of the board through a dual-class share structure. At the company's April 2006 annual shareholder meeting, Morgan Stanley Investment Management (MSIM) and other investors, holding 28% of the company's stock altogether, withheld their votes for the 30% of directors that they could vote on as a sign of protest against the management of Arthur Sulzberger, Jr. and the dual-class structure that protects him. MSIM later submitted a proposal urging the NYT to subject the dual-class structure to a vote. In evaluating the proposal, Sulzberger feels torn by his responsibilities to three different constituencies: his readers, his family, and all other NYT shareholders."
6,6,"Apex Investment Partners (A): April 1995","Josh Lerner","Finance","296028-PDF-ENG","The partners of Apex Investment Partners are seeking to provide financing for Accessine Technologies, a small firm specializing in providing ""One Person, One Number"" telecommunication services. The negotiation of the terms- and-conditions of the deal, as well as its pricing, prove challenging."
7,7,"Restructuring the U.S. Steel Industry","William E. Fruhan","Finance","203042-PDF-ENG","Focuses on the competitive decline of the integrated steel producers in the United States from 1970 to 2002. Issues include: Should the U.S. government impose tariffs to try to protect the industry? What should labor unions do, if anything, to protect jobs and wage rates of employees in failing companies?"
8,8,"NWA, Inc. - Northwest Airlines Revenue Management","Jonathan Tiemann","Finance","290007-PDF-ENG","Northwest Airlines is evaluating improvements to its revenue management system. This system executes a program of economic price discrimination under which the airline attempts to control the conditions on its discount fare offerings. Students must evaluate the effect of deregulation on the economics of the airline industry, and weigh the importance of aggressive asset management. They must then evaluate price discrimination as a means for airlines to maximize the profit contribution from the fixed inventory of seats on each flight. A secondary issue for the case (though it is crucial for airlines) is the importance of the proposed technology to Northwest's competitive position in the industry."
9,9,"Real Property Negotiation Game: Seller Case, Las Vegas Pines (A)","Arthur I Segel; John H. Vogel Jr.","Finance","209038-PDF-ENG","The Real Property Negotiation Game simulates the experience negotiating the sale, purchase, or financing of a property. The class competes as either a lender, buyer, or one of two groups of sellers, Raleigh, North Carolina and Las Vegas, Nevada. The seller case, Las Vegas, for the Real Property Negotiation Game. David Stephens must decide whether and at what price to sell his property."
10,10,"Lin TV Corp","David S. Scharfstein; Erik Stafford; Joel L. Heilprin","Finance","213065-PDF-ENG","This case considers the valuation of Lin TV, a publicly-traded company with 30 TV stations. The case highlights how a change in operating strategy can enhance the firm's value, and considers the effect of consolidation within the industry on firm value."
